instance,customers,run,method,checkpoint,q,BestCost,BKS
6.10.1,6,5,sats,4,4/8,1078.7476708790684,1078.7476708790684
6.10.1,6,5,sats,5,5/8,1078.7476708790684,1078.7476708790684
6.10.1,6,5,sats,6,6/8,1078.7476708790684,1078.7476708790684
6.10.1,6,5,sats,7,7/8,1078.7476708790684,1078.7476708790684
6.10.1,6,5,sats,8,8/8,1078.7476708790684,1078.7476708790684
6.10.1,6,6,sats,0,0/8,2184.8038178415695,1078.7476708790684
6.10.1,6,6,sats,1,1/8,1078.7476708790684,1078.7476708790684
6.10.1,6,6,sats,2,2/8,1078.7476708790684,1078.7476708790684
6.10.1,6,6,sats,3,3/8,1078.7476708790684,1078.7476708790684
6.10.1,6,6,sats,4,4/8,1078.7476708790684,1078.7476708790684
6.10.1,6,6,sats,5,5/8,1078.7476708790684,1078.7476708790684
6.10.1,6,6,sats,6,6/8,1078.7476708790684,1078.7476708790684
6.10.1,6,6,sats,7,7/8,1078.7476708790684,1078.7476708790684
6.10.1,6,6,sats,8,8/8,1078.7476708790684,1078.7476708790684
6.10.1,6,7,sats,0,0/8,2184.8038178415695,1078.7476708790684
6.10.1,6,7,sats,1,1/8,1078.7476708790684,1078.7476708790684
6.10.1,6,7,sats,2,2/8,1078.7476708790684,1078.7476708790684
6.10.1,6,7,sats,3,3/8,1078.7476708790684,1078.7476708790684
6.10.1,6,7,sats,4,4/8,1078.7476708790684,1078.7476708790684
6.10.1,6,7,sats,5,5/8,1078.7476708790684,1078.7476708790684
6.10.1,6,7,sats,6,6/8,1078.7476708790684,1078.7476708790684
6.10.1,6,7,sats,7,7/8,1078.7476708790684,1078.7476708790684
6.10.1,6,7,sats,8,8/8,1078.7476708790684,1078.7476708790684
6.10.1,6,8,sats,0,0/8,1078.7476708790684,1078.7476708790684
6.10.1,6,8,sats,1,1/8,1078.7476708790684,1078.7476708790684
6.10.1,6,8,sats,2,2/8,1078.7476708790684,1078.7476708790684
6.10.1,6,8,sats,3,3/8,1078.7476708790684,1078.7476708790684
6.10.1,6,8,sats,4,4/8,1078.7476708790684,1078.7476708790684
6.10.1,6,8,sats,5,5/8,1078.7476708790684,1078.7476708790684
6.10.1,6,8,sats,6,6/8,1078.7476708790684,1078.7476708790684
6.10.1,6,8,sats,7,7/8,1078.7476708790684,1078.7476708790684
6.10.1,6,8,sats,8,8/8,1078.7476708790684,1078.7476708790684
6.10.1,6,9,sats,0,0/8,2184.8038178415695,1078.7476708790684
6.10.1,6,9,sats,1,1/8,1078.7476708790684,1078.7476708790684
6.10.1,6,9,sats,2,2/8,1078.7476708790684,1078.7476708790684
6.10.1,6,9,sats,3,3/8,1078.7476708790684,1078.7476708790684
6.10.1,6,9,sats,4,4/8,1078.7476708790684,1078.7476708790684
6.10.1,6,9,sats,5,5/8,1078.7476708790684,1078.7476708790684
6.10.1,6,9,sats,6,6/8,1078.7476708790684,1078.7476708790684
6.10.1,6,9,sats,7,7/8,1078.7476708790684,1078.7476708790684
6.10.1,6,9,sats,8,8/8,1078.7476708790684,1078.7476708790684
6.10.1,6,10,sats,0,0/8,1078.7476708790684,1078.7476708790684
6.10.1,6,10,sats,1,1/8,1078.7476708790684,1078.7476708790684
6.10.1,6,10,sats,2,2/8,1078.7476708790684,1078.7476708790684
