instance,n,set,Tn,run,seed,bks,ims-final,coop-final,delta_coop,ims-evals,coop-evals
10.10.2,10,held-out,1.0,9,900,2006.7277325718107,2006.7277325718107,2006.7277325718107,0.0,26293791,27135240
10.10.2,10,held-out,1.0,10,1000,2006.7277325718107,2006.7277325718107,2006.7277325718107,0.0,26317570,26877866
10.10.3,10,held-out,1.0,1,100,1818.1502668036478,1818.1502668036474,1818.1502668036474,0.0,29665548,29457490
10.10.3,10,held-out,1.0,2,200,1818.1502668036478,1818.1502668036474,1818.1502668036474,0.0,29145926,29468877
10.10.3,10,held-out,1.0,3,300,1818.1502668036478,1818.1502668036474,1818.1502668036474,0.0,28611424,29464173
10.10.3,10,held-out,1.0,4,400,1818.1502668036478,1818.1502668036474,1818.1502668036474,0.0,28347577,28466205
10.10.3,10,held-out,1.0,5,500,1818.1502668036478,1818.1502668036474,1818.1502668036474,0.0,29128962,29450199
10.10.3,10,held-out,1.0,6,600,1818.1502668036478,1818.1502668036474,1818.1502668036474,0.0,28043720,29123018
10.10.3,10,held-out,1.0,7,700,1818.1502668036478,1818.1502668036474,1818.1502668036474,0.0,28830801,29347318
10.10.3,10,held-out,1.0,8,800,1818.1502668036478,1818.1502668036474,1818.1502668036474,0.0,28975727,29431149
10.10.3,10,held-out,1.0,9,900,1818.1502668036478,1818.1502668036474,1818.1502668036474,0.0,28583457,28541693
10.10.3,10,held-out,1.0,10,1000,1818.1502668036478,1818.1502668036474,1818.1502668036474,0.0,28035455,29404823
10.10.4,10,held-out,1.0,1,100,1359.633305210052,1359.633305210052,1359.633305210052,0.0,28333145,28930732
10.10.4,10,held-out,1.0,2,200,1359.633305210052,1359.633305210052,1359.633305210052,0.0,28232008,28735371
10.10.4,10,held-out,1.0,3,300,1359.633305210052,1359.633305210052,1359.633305210052,0.0,28327359,28987255
10.10.4,10,held-out,1.0,4,400,1359.633305210052,1359.633305210052,1359.633305210052,0.0,28236349,28895727
10.10.4,10,held-out,1.0,5,500,1359.633305210052,1359.633305210052,1359.633305210052,0.0,28475092,28830438
