n,instance,pool_set,pool_size,strategy,run,final_cost,final_rpd_pct,pull_accept_count,pull_offer_count,ar_pct,pull_round_improved_count,er_pct,pool_diversity
200,200.10.2,po1,2,random-target,9,1456.390952772954,-0.3813896606085802,34,58,58.620689655172406,30,88.23529411764706,0.20166738723763533
200,200.10.2,po1,2,random-target,10,1467.6317741729029,0.38749386259932844,41,57,71.9298245614035,39,95.1219512195122,0.1326793148459743
200,200.10.2,po2,3,quality-only,1,1443.0230591559239,-1.2957670692005798,36,60,60.0,24,66.66666666666666,0.008051936458822158
200,200.10.2,po2,3,quality-only,2,1456.3855374489358,-0.3817600742342686,43,60,71.66666666666667,34,79.06976744186046,0.07123841499496161
200,200.10.2,po2,3,quality-only,3,1441.6999526124157,-1.3862688914923775,35,52,67.3076923076923,29,82.85714285714286,0.0
200,200.10.2,po2,3,quality-only,4,1458.8293372518317,-0.21460170247382426,40,56,71.42857142857143,33,82.5,0.03521944957158998
200,200.10.2,po2,3,quality-only,5,1466.7881109176346,0.3297864448731977,34,55,61.81818181818181,31,91.17647058823529,0.1439438229104449
200,200.10.2,po2,3,quality-only,6,1467.618067834579,0.3865563352313791,33,58,56.896551724137936,20,60.60606060606061,0.02598615060257424
200,200.10.2,po2,3,quality-only,7,1441.6999526124162,-1.3862688914923462,33,56,58.92857142857143,23,69.6969696969697,0.05385424969630657
200,200.10.2,po2,3,quality-only,8,1454.7895497464958,-0.4909272430724933,27,58,46.55172413793103,14,51.85185185185185,0.07145374174116449
200,200.10.2,po2,3,quality-only,9,1457.5647999411285,-0.30109733015862594,38,57,66.66666666666666,26,68.42105263157895,0.0
200,200.10.2,po2,3,quality-only,10,1478.3052786522508,1.1175723361434236,35,60,58.333333333333336,23,65.71428571428571,0.137174194014644
200,200.10.2,po2,3,td-crowding,1,1455.8169841479562,-0.42064969356321497,25,58,43.103448275862064,21,84.0,0.5100794725251868
200,200.10.2,po2,3,td-crowding,2,1452.9013294276417,-0.6200834176701897,27,57,47.368421052631575,21,77.77777777777779,0.5044736253060362
200,200.10.2,po2,3,td-crowding,3,1441.6999526124162,-1.3862688914923462,19,54,35.18518518518518,18,94.73684210526315,0.5396586706741431
200,200.10.2,po2,3,td-crowding,4,1463.3610112089539,0.09536936762942343,17,54,31.48148148148148,16,94.11764705882352,0.6013209561631705
200,200.10.2,po2,3,td-crowding,5,1463.8990604779565,0.13217248039946114,21,57,36.84210526315789,15,71.42857142857143,0.6085920809550354
200,200.10.2,po2,3,td-crowding,6,1465.7466578669541,0.2585500056156096,24,57,42.10526315789473,17,70.83333333333334,0.5902794394526735
200,200.10.2,po2,3,td-crowding,7,1444.2804667953624,-1.209759118222512,25,59,42.3728813559322,23,92.0,0.474838824993091
200,200.10.2,po2,3,td-crowding,8,1456.6133586989624,-0.36617687091223133,25,59,42.3728813559322,22,88.0,0.5244398604056304
200,200.10.2,po2,3,td-crowding,9,1452.1661514769394,-0.6703703311268305,30,56,53.57142857142857,26,86.66666666666667,0.5917256802558154
200,200.10.2,po2,3,td-crowding,10,1477.4325709742736,1.0578782506047362,21,61,34.42622950819672,21,100.0,0.592692641929396
200,200.10.2,po2,3,edge-crowding,1,1444.9977372061658,-1.160697098559624,23,60,38.333333333333336,20,86.95652173913044,0.49008302650218044
